,Book,Author,Genres,Num_Ratings,description
440,"bridget jones's diary (bridget jones, #1)",Helen Fielding,"['Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary', 'Comedy', 'Adult']","952,870","Helen Fielding ['Fiction', 'Chick Lit', 'Romance', 'Humor', 'Contemporary', 'Comedy', 'Adult']"
3497,"the highlander (the rise of the aztecs, #1)",Zoe Saadia,"['Historical Fiction', 'Historical', 'Fiction', 'Fantasy', 'Adventure', 'Amazon', 'Novels']",952,"Zoe Saadia ['Historical Fiction', 'Historical', 'Fiction', 'Fantasy', 'Adventure', 'Amazon', 'Novels']"
1152,the subtle art of not giving a f*ck: a counterintuitive approach to living a good life,Mark Manson,"['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business']","950,104","Mark Manson ['Nonfiction', 'Self Help', 'Psychology', 'Audiobook', 'Personal Development', 'Philosophy', 'Business']"
2893,my loose thread,Dennis Cooper,"['Fiction', 'Queer', 'LGBT', 'Young Adult', 'Contemporary', 'Gay', 'Novels']",950,"Dennis Cooper ['Fiction', 'Queer', 'LGBT', 'Young Adult', 'Contemporary', 'Gay', 'Novels']"
1922,"proud pada (the last lumenian, #3)",S.G. Blaise,"['Fiction', 'Novels', 'Drama', 'Epic', 'Contemporary', 'Fantasy']",950,"S.G. Blaise ['Fiction', 'Novels', 'Drama', 'Epic', 'Contemporary', 'Fantasy']"
3329,"the poet (jack mcevoy, #1; harry bosch universe, #5)",Michael Connelly,"['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']","95,996","Michael Connelly ['Mystery', 'Fiction', 'Crime', 'Thriller', 'Mystery Thriller', 'Suspense', 'Detective']"
4621,"free four: tobias tells the divergent knife-throwing scene (divergent, #1.5)",Veronica Roth,"['Young Adult', 'Dystopia', 'Short Stories', 'Science Fiction', 'Fantasy', 'Fiction', 'Romance']","95,987","Veronica Roth ['Young Adult', 'Dystopia', 'Short Stories', 'Science Fiction', 'Fantasy', 'Fiction', 'Romance']"
8356,"the dark prophecy (the trials of apollo, #2)",Rick Riordan,"['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Greek Mythology']","95,970","Rick Riordan ['Fantasy', 'Mythology', 'Young Adult', 'Middle Grade', 'Fiction', 'Adventure', 'Greek Mythology']"
2076,"the pilot's wife (fortune's rocks quartet, #3)",Anita Shreve,"['Fiction', 'Chick Lit', 'Mystery', 'Contemporary', 'Romance', 'Adult Fiction', 'Adult']","95,952","Anita Shreve ['Fiction', 'Chick Lit', 'Mystery', 'Contemporary', 'Romance', 'Adult Fiction', 'Adult']"
7705,"sideways stories from wayside school (wayside school, #1)",Louis Sachar,"['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Short Stories']","95,922","Louis Sachar ['Childrens', 'Fiction', 'Humor', 'Middle Grade', 'Young Adult', 'Fantasy', 'Short Stories']"
3139,the buried giant,Kazuo Ishiguro,"['Fantasy', 'Fiction', 'Historical Fiction', 'Literary Fiction', 'Magical Realism', 'Novels', 'Historical']","95,860","Kazuo Ishiguro ['Fantasy', 'Fiction', 'Historical Fiction', 'Literary Fiction', 'Magical Realism', 'Novels', 'Historical']"
4964,"the magician king (the magicians, #2)",Lev Grossman,"['Fantasy', 'Fiction', 'Magic', 'Urban Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Young Adult']","95,805","Lev Grossman ['Fantasy', 'Fiction', 'Magic', 'Urban Fantasy', 'Audiobook', 'Science Fiction Fantasy', 'Young Adult']"
4748,"legendborn (legendborn, #1)",Tracy Deonn,"['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'Retellings', 'Urban Fantasy']","95,714","Tracy Deonn ['Fantasy', 'Young Adult', 'Fiction', 'Romance', 'Young Adult Fantasy', 'Retellings', 'Urban Fantasy']"
3981,"new spring (the wheel of time, #0)",Robert Jordan,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook']","95,668","Robert Jordan ['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Adventure', 'Audiobook']"
1638,bird by bird: some instructions on writing and life,Anne Lamott,"['Writing', 'Nonfiction', 'Memoir', 'Self Help', 'Essays', 'Reference', 'Biography']","95,639","Anne Lamott ['Writing', 'Nonfiction', 'Memoir', 'Self Help', 'Essays', 'Reference', 'Biography']"
2982,the last juror,John Grisham,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller']","95,638","John Grisham ['Fiction', 'Thriller', 'Mystery', 'Crime', 'Legal Thriller', 'Suspense', 'Mystery Thriller']"
868,"the last of the mohicans (the leatherstocking tales, #2)",James Fenimore Cooper,"['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'Historical', 'American']","95,593","James Fenimore Cooper ['Classics', 'Fiction', 'Historical Fiction', 'Adventure', 'Literature', 'Historical', 'American']"
7833,"the diviners (the diviners, #1)",Libba Bray,"['Fantasy', 'Young Adult', 'Historical Fiction', 'Paranormal', 'Mystery', 'Historical', 'Horror']","95,391","Libba Bray ['Fantasy', 'Young Adult', 'Historical Fiction', 'Paranormal', 'Mystery', 'Historical', 'Horror']"
3887,esperanza rising,Pam Muñoz Ryan,"['Historical Fiction', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Realistic Fiction', 'Historical']","95,380","Pam Muñoz Ryan ['Historical Fiction', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Realistic Fiction', 'Historical']"
8558,"men at arms (discworld, #15; city watch, #2)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Mystery']","95,321","Terry Pratchett ['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Audiobook', 'Mystery']"
768,"the borrowers (the borrowers, #1)",Mary Norton,"['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']","95,308","Mary Norton ['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Middle Grade', 'Young Adult', 'Adventure']"
4084,the body in the library,Agatha Christie,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook']","95,290","Agatha Christie ['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Detective', 'Audiobook']"
1076,"the elegant universe: superstrings, hidden dimensions, and the quest for the ultimate theory",Brian Greene,"['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']","95,289","Brian Greene ['Science', 'Nonfiction', 'Physics', 'Astronomy', 'Popular Science', 'Space', 'Philosophy']"
3098,the little paris bookshop,Nina George,"['Fiction', 'Romance', 'Books About Books', 'Contemporary', 'France', 'Audiobook', 'Adult']","95,119","Nina George ['Fiction', 'Romance', 'Books About Books', 'Contemporary', 'France', 'Audiobook', 'Adult']"
1592,america (the book): a citizen's guide to democracy inaction,Jon   Stewart,"['Humor', 'Nonfiction', 'Politics', 'Comedy', 'History', 'Audiobook', 'American History']","95,110","Jon   Stewart ['Humor', 'Nonfiction', 'Politics', 'Comedy', 'History', 'Audiobook', 'American History']"
4827,the chalk man,C.J. Tudor,"['Thriller', 'Mystery', 'Fiction', 'Horror', 'Mystery Thriller', 'Crime', 'Suspense']","95,096","C.J. Tudor ['Thriller', 'Mystery', 'Fiction', 'Horror', 'Mystery Thriller', 'Crime', 'Suspense']"
549,"the road less traveled: a new psychology of love, traditional values and spiritual growth",M. Scott Peck,"['Psychology', 'Nonfiction', 'Self Help', 'Spirituality', 'Philosophy', 'Personal Development', 'Religion']","95,056","M. Scott Peck ['Psychology', 'Nonfiction', 'Self Help', 'Spirituality', 'Philosophy', 'Personal Development', 'Religion']"
4524,if shadows could tell: an aurora steller mystery novel,Granthana Sinha,"['Mystery', 'Thriller', 'Psychological Thriller', 'Mystery Thriller', 'Murder Mystery', 'Suspense', 'Crime']",95,"Granthana Sinha ['Mystery', 'Thriller', 'Psychological Thriller', 'Mystery Thriller', 'Murder Mystery', 'Suspense', 'Crime']"
8753,best of s j perelman,S.J. Perelman,"['Humor', 'Essays', 'Short Stories', 'Nonfiction']",95,"S.J. Perelman ['Humor', 'Essays', 'Short Stories', 'Nonfiction']"
8867,danny (danny quadrilogy #1),Chancery Stone,"['M M Romance', 'Abuse', 'Romance', 'Fiction', 'Contemporary', 'LGBT', 'Gay']",95,"Chancery Stone ['M M Romance', 'Abuse', 'Romance', 'Fiction', 'Contemporary', 'LGBT', 'Gay']"
1298,becoming,Michelle Obama,"['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir']","947,664","Michelle Obama ['Nonfiction', 'Memoir', 'Biography', 'Audiobook', 'Autobiography', 'Politics', 'Biography Memoir']"
7273,the mark of the horse lord,Rosemary Sutcliff,"['Historical Fiction', 'Fiction', 'Historical', 'Young Adult', 'Adventure', 'Fantasy', 'Classics']",945,"Rosemary Sutcliff ['Historical Fiction', 'Fiction', 'Historical', 'Young Adult', 'Adventure', 'Fantasy', 'Classics']"
6014,debbie harry sings in french,Meagan Brothers,"['Young Adult', 'LGBT', 'Fiction', 'Teen', 'Music', 'Realistic Fiction', 'Queer']",945,"Meagan Brothers ['Young Adult', 'LGBT', 'Fiction', 'Teen', 'Music', 'Realistic Fiction', 'Queer']"
2125,"harry potter and the cursed child: parts one and two (harry potter, #8)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']","944,482","J.K. Rowling ['Fantasy', 'Fiction', 'Young Adult', 'Plays', 'Magic', 'Adventure', 'Middle Grade']"
2865,"revealing eden (save the pearls, #1)",Victoria Foyt,"['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Romance', 'Post Apocalyptic', 'Fiction']",944,"Victoria Foyt ['Young Adult', 'Dystopia', 'Science Fiction', 'Fantasy', 'Romance', 'Post Apocalyptic', 'Fiction']"
2453,the lazarus men,Christian Warren Freed,"['Science Fiction', 'Fiction', 'Contemporary']",944,"Christian Warren Freed ['Science Fiction', 'Fiction', 'Contemporary']"
9308,"prophecy: clash of kings (prophecy, #1)",M.K. Hume,"['Fantasy', 'Historical Fiction', 'Arthurian', 'Fiction', 'Historical', 'Historical Fantasy', 'Mythology']",942,"M.K. Hume ['Fantasy', 'Historical Fiction', 'Arthurian', 'Fiction', 'Historical', 'Historical Fantasy', 'Mythology']"
5636,big little lies,Liane Moriarty,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Thriller', 'Audiobook', 'Mystery Thriller']","941,068","Liane Moriarty ['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Thriller', 'Audiobook', 'Mystery Thriller']"
1833,big little lies,Liane Moriarty,"['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Thriller', 'Audiobook', 'Mystery Thriller']","941,061","Liane Moriarty ['Fiction', 'Mystery', 'Contemporary', 'Chick Lit', 'Thriller', 'Audiobook', 'Mystery Thriller']"
7594,"persuasion (the heirs of watson island, #2)",Martina Boone,"['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Gothic', 'Fiction', 'Southern Gothic']",941,"Martina Boone ['Young Adult', 'Fantasy', 'Romance', 'Paranormal', 'Gothic', 'Fiction', 'Southern Gothic']"
2363,child of another kind,Steven Decker,[],940,Steven Decker []
9625,come on inner peace! i don't have all day!,Sachin Garg,"['Fiction', 'Indian Literature', 'Humor']",940,"Sachin Garg ['Fiction', 'Indian Literature', 'Humor']"
8183,an object of beauty,Steve Martin,"['Fiction', 'Art', 'Contemporary', 'Novels', 'Audiobook', 'New York', 'Adult Fiction']","94,903","Steve Martin ['Fiction', 'Art', 'Contemporary', 'Novels', 'Audiobook', 'New York', 'Adult Fiction']"
378,old yeller,Fred Gipson,"['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Historical Fiction', 'Dogs']","94,863","Fred Gipson ['Classics', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Historical Fiction', 'Dogs']"
1571,the thief lord,Cornelia Funke,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure', 'Mystery']","94,801","Cornelia Funke ['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Adventure', 'Mystery']"
5584,"blue moon (the immortals, #2)",Alyson Noel,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction']","94,728","Alyson Noel ['Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Supernatural', 'Paranormal Romance', 'Fiction']"
994,"stones from the river (burgdorf cycle, #1)",Ursula Hegi,"['Fiction', 'Historical Fiction', 'Germany', 'World War II', 'Holocaust', 'Historical', 'War']","94,568","Ursula Hegi ['Fiction', 'Historical Fiction', 'Germany', 'World War II', 'Holocaust', 'Historical', 'War']"
6707,"lean mean thirteen (stephanie plum, #13)",Janet Evanovich,"['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Comedy']","94,450","Janet Evanovich ['Mystery', 'Fiction', 'Humor', 'Chick Lit', 'Romance', 'Crime', 'Comedy']"
480,the stinky cheese man and other fairly stupid tales,Jon Scieszka,"['Picture Books', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Fairy Tales', 'Short Stories']","94,346","Jon Scieszka ['Picture Books', 'Childrens', 'Fiction', 'Humor', 'Fantasy', 'Fairy Tales', 'Short Stories']"
9991,"the evolution of mara dyer (mara dyer, #2)",Michelle Hodkin,"['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Mystery', 'Fiction', 'Supernatural']","94,298","Michelle Hodkin ['Young Adult', 'Paranormal', 'Fantasy', 'Romance', 'Mystery', 'Fiction', 'Supernatural']"
8420,rizq and lawful earnings,Darussalam,"['Islam', 'Religion']",94,"Darussalam ['Islam', 'Religion']"
3729,tales of the astonishing black spark,Charlie J. Eskew,"['Fiction', 'Science Fiction', 'Contemporary', 'Fantasy', 'Graphic Novels', 'Superheroes', 'Speculative Fiction']",94,"Charlie J. Eskew ['Fiction', 'Science Fiction', 'Contemporary', 'Fantasy', 'Graphic Novels', 'Superheroes', 'Speculative Fiction']"
2123,"to live and die in fantasyland (to live, #3)",Ben Peller,"['Fantasy', 'Inspirational']",94,"Ben Peller ['Fantasy', 'Inspirational']"
5855,"before life happened (before, #1)",Isabel Curtis,"['Young Adult', 'Contemporary', 'Fiction', 'Coming Of Age', 'Realistic Fiction']",94,"Isabel Curtis ['Young Adult', 'Contemporary', 'Fiction', 'Coming Of Age', 'Realistic Fiction']"
5802,from hurt to happiness: emotional rescue from the ground up,Mike Van,"['Self Help', 'Nonfiction', 'Relationships', 'Personal Development']",94,"Mike Van ['Self Help', 'Nonfiction', 'Relationships', 'Personal Development']"
756,"the titan's curse (percy jackson and the olympians, #3)",Rick Riordan,"['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']","934,264","Rick Riordan ['Fantasy', 'Young Adult', 'Mythology', 'Fiction', 'Middle Grade', 'Adventure', 'Greek Mythology']"
5481,i don't have to make everything all better,Gary B. Lundberg,"['Self Help', 'Nonfiction', 'Psychology', 'Relationships', 'Parenting', 'Personal Development', 'Family']",932,"Gary B. Lundberg ['Self Help', 'Nonfiction', 'Psychology', 'Relationships', 'Parenting', 'Personal Development', 'Family']"
2005,tiny beautiful things: advice on love and life from dear sugar,Cheryl Strayed,"['Nonfiction', 'Self Help', 'Memoir', 'Essays', 'Audiobook', 'Psychology', 'Relationships']","93,995","Cheryl Strayed ['Nonfiction', 'Self Help', 'Memoir', 'Essays', 'Audiobook', 'Psychology', 'Relationships']"
5723,"locke & key, vol. 1: welcome to lovecraft",Joe Hill,"['Graphic Novels', 'Comics', 'Horror', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Mystery']","93,984","Joe Hill ['Graphic Novels', 'Comics', 'Horror', 'Fantasy', 'Fiction', 'Graphic Novels Comics', 'Mystery']"
1864,the sisters brothers,Patrick deWitt,"['Fiction', 'Westerns', 'Historical Fiction', 'Historical', 'Canada', 'Humor', 'Adventure']","93,978","Patrick deWitt ['Fiction', 'Westerns', 'Historical Fiction', 'Historical', 'Canada', 'Humor', 'Adventure']"
8599,"the caves of steel (robot, #1)",Isaac Asimov,"['Science Fiction', 'Fiction', 'Mystery', 'Classics', 'Science Fiction Fantasy', 'Robots', 'Crime']","93,938","Isaac Asimov ['Science Fiction', 'Fiction', 'Mystery', 'Classics', 'Science Fiction Fantasy', 'Robots', 'Crime']"
647,the fall,Albert Camus,"['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']","93,903","Albert Camus ['Fiction', 'Philosophy', 'Classics', 'France', 'Literature', 'French Literature', 'Novels']"
1785,"the sword of shannara (the original shannara trilogy, #1)",Terry Brooks,"['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic']","93,862","Terry Brooks ['Fantasy', 'Fiction', 'Epic Fantasy', 'Science Fiction Fantasy', 'High Fantasy', 'Adventure', 'Magic']"
1675,the woods,Harlan Coben,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']","93,793","Harlan Coben ['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense', 'Audiobook']"
5191,"sourcery (discworld, #5; rincewind, #3)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Magic', 'Audiobook']","93,771","Terry Pratchett ['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Magic', 'Audiobook']"
3617,dry,Augusten Burroughs,"['Memoir', 'Nonfiction', 'Biography', 'Humor', 'Biography Memoir', 'Autobiography', 'LGBT']","93,683","Augusten Burroughs ['Memoir', 'Nonfiction', 'Biography', 'Humor', 'Biography Memoir', 'Autobiography', 'LGBT']"
4416,fool me once,Harlan Coben,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']","93,656","Harlan Coben ['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook']"
1136,the stranger beside me: ted bundy: the shocking inside story,Ann Rule,"['True Crime', 'Nonfiction', 'Crime', 'Audiobook', 'Biography', 'Memoir', 'Mystery']","93,615","Ann Rule ['True Crime', 'Nonfiction', 'Crime', 'Audiobook', 'Biography', 'Memoir', 'Mystery']"
718,the house of mirth,Edith Wharton,"['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'American', 'Novels', 'New York']","93,612","Edith Wharton ['Classics', 'Fiction', 'Historical Fiction', 'Literature', 'American', 'Novels', 'New York']"
1531,the warmth of other suns: the epic story of america's great migration,Isabel Wilkerson,"['History', 'Nonfiction', 'Race', 'American History', 'African American', 'Social Justice', 'Biography']","93,585","Isabel Wilkerson ['History', 'Nonfiction', 'Race', 'American History', 'African American', 'Social Justice', 'Biography']"
7134,"the affair (jack reacher, #16; chronological order, #3)",Lee Child,"['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller']","93,521","Lee Child ['Thriller', 'Fiction', 'Mystery', 'Crime', 'Action', 'Suspense', 'Mystery Thriller']"
9567,"tales from a not-so-fabulous life (dork diaries, #1)",Rachel Renée Russell,"['Middle Grade', 'Childrens', 'Realistic Fiction', 'Fiction', 'Humor', 'Graphic Novels', 'Young Adult']","93,497","Rachel Renée Russell ['Middle Grade', 'Childrens', 'Realistic Fiction', 'Fiction', 'Humor', 'Graphic Novels', 'Young Adult']"
2376,"the memoirs of sherlock holmes (sherlock holmes, #4)",Arthur Conan Doyle,"['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Audiobook']","93,467","Arthur Conan Doyle ['Classics', 'Mystery', 'Fiction', 'Short Stories', 'Crime', 'Detective', 'Audiobook']"
443,"ishmael (ishmael, #1)",Daniel Quinn,"['Fiction', 'Philosophy', 'Spirituality', 'Classics', 'Fantasy', 'Environment', 'Novels']","93,410","Daniel Quinn ['Fiction', 'Philosophy', 'Spirituality', 'Classics', 'Fantasy', 'Environment', 'Novels']"
8190,"the last kingdom (the saxon stories, #1)",Bernard Cornwell,"['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Medieval', 'Adventure', 'Audiobook']","93,335","Bernard Cornwell ['Historical Fiction', 'Fiction', 'Historical', 'Fantasy', 'Medieval', 'Adventure', 'Audiobook']"
5394,the blind side,Michael   Lewis,"['Sports', 'Nonfiction', 'Biography', 'Football', 'Biography Memoir', 'Business', 'Adult']","93,294","Michael   Lewis ['Sports', 'Nonfiction', 'Biography', 'Football', 'Biography Memoir', 'Business', 'Adult']"
4225,invisible women: data bias in a world designed for men,Caroline Criado Pérez,"['Nonfiction', 'Feminism', 'Science', 'Audiobook', 'Politics', 'Womens', 'Sociology']","93,288","Caroline Criado Pérez ['Nonfiction', 'Feminism', 'Science', 'Audiobook', 'Politics', 'Womens', 'Sociology']"
2421,2 states: the story of my marriage,Chetan Bhagat,"['Fiction', 'Romance', 'Indian Literature', 'India', 'Contemporary', 'Novels', 'Drama']","93,241","Chetan Bhagat ['Fiction', 'Romance', 'Indian Literature', 'India', 'Contemporary', 'Novels', 'Drama']"
2216,"his majesty's dragon (temeraire, #1)",Naomi Novik,"['Fantasy', 'Dragons', 'Historical Fiction', 'Fiction', 'Historical', 'Alternate History', 'Historical Fantasy']","93,233","Naomi Novik ['Fantasy', 'Dragons', 'Historical Fiction', 'Fiction', 'Historical', 'Alternate History', 'Historical Fantasy']"
1598,"say you're sorry (morgan dane, #1)",Melinda Leigh,"['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Romance', 'Romantic Suspense', 'Mystery Thriller']","93,212","Melinda Leigh ['Mystery', 'Thriller', 'Fiction', 'Suspense', 'Romance', 'Romantic Suspense', 'Mystery Thriller']"
525,doctor zhivago,Boris Pasternak,"['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'Romance']","93,169","Boris Pasternak ['Classics', 'Fiction', 'Historical Fiction', 'Russia', 'Russian Literature', 'Literature', 'Romance']"
8006,seven sons of zion (scribbler guardian #2),Lucian Bane,[],93,Lucian Bane []
2666,amatore's restaurant,James Sillwood,"['Fiction', 'LGBT', 'Erotica', 'Lesbian', 'Short Stories']",93,"James Sillwood ['Fiction', 'LGBT', 'Erotica', 'Lesbian', 'Short Stories']"
8903,the silver mist,Martin Treanor,"['Fiction', 'Ireland', 'Literary Fiction', 'Irish Literature']",93,"Martin Treanor ['Fiction', 'Ireland', 'Literary Fiction', 'Irish Literature']"
9967,"heaven is real, heaven exists; proof of life-after death; real stories of near-death experiences. (heaven is real; heaven exists. book 1)",Tessy Rawlins,"['Philosophy', 'Nonfiction']",93,"Tessy Rawlins ['Philosophy', 'Nonfiction']"
1277,they came from the north,Malcolm McCoard,[],93,Malcolm McCoard []
4757,ryan's crossing (crossing #2),Carrie Daws,"['Christian Fiction', 'Christian']",93,"Carrie Daws ['Christian Fiction', 'Christian']"
1015,sharp objects,Gillian Flynn,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']","929,589","Gillian Flynn ['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']"
9780,"john brown, abolitionist john brown, abolitionist",David S. Reynolds,"['History', 'Biography', 'Nonfiction', 'Civil War', 'American History', 'Politics', 'American Civil War']",928,"David S. Reynolds ['History', 'Biography', 'Nonfiction', 'Civil War', 'American History', 'Politics', 'American Civil War']"
7433,thirteen reasons why,Jay Asher,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Teen']","927,927","Jay Asher ['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Teen']"
325,thirteen reasons why,Jay Asher,"['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Teen']","927,921","Jay Asher ['Young Adult', 'Fiction', 'Contemporary', 'Realistic Fiction', 'Mental Health', 'Mystery', 'Teen']"
927,chasing the red queen,Karen Glista,"['Fiction', 'Young Adult', 'Romance', 'New Adult', 'Fantasy', 'Adult', 'Novels']",925,"Karen Glista ['Fiction', 'Young Adult', 'Romance', 'New Adult', 'Fantasy', 'Adult', 'Novels']"
9149,babushka baba yaga,Patricia Polacco,"['Picture Books', 'Childrens', 'Fantasy', 'Folklore', 'Fiction', 'Russia', 'Fairy Tales']",925,"Patricia Polacco ['Picture Books', 'Childrens', 'Fantasy', 'Folklore', 'Fiction', 'Russia', 'Fairy Tales']"
682,"city of glass (the mortal instruments, #3)",Cassandra Clare,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']","924,250","Cassandra Clare ['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Urban Fantasy', 'Fiction', 'Vampires']"
7472,fear the heart (werelock evolution book 2),Hettie Ivers,"['Paranormal', 'Shapeshifters', 'Romance', 'Fantasy', 'Erotica', 'Adult', 'Supernatural']",924,"Hettie Ivers ['Paranormal', 'Shapeshifters', 'Romance', 'Fantasy', 'Erotica', 'Adult', 'Supernatural']"
1555,"hometown girl again (hometown, #5)",Kirsten Fullmer,"['Romance', 'Fiction', 'Contemporary', 'New Adult', 'Adult', 'Young Adult', 'Contemporary Romance']",921,"Kirsten Fullmer ['Romance', 'Fiction', 'Contemporary', 'New Adult', 'Adult', 'Young Adult', 'Contemporary Romance']"
1061,the search for mother missing: a peek inside international adoption (adoption books for adults),Janine Vance,"['Nonfiction', 'Adoption', 'How To', 'Education', 'Inspirational']",921,"Janine Vance ['Nonfiction', 'Adoption', 'How To', 'Education', 'Inspirational']"
8945,kings of colorado,David E. Hilton,"['Fiction', 'Horses', 'Young Adult', 'Historical Fiction', 'Adult', 'Animals', 'Novels']",920,"David E. Hilton ['Fiction', 'Horses', 'Young Adult', 'Historical Fiction', 'Adult', 'Animals', 'Novels']"
867,the illustrated man,Ray Bradbury,"['Science Fiction', 'Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Horror', 'Science Fiction Fantasy']","92,997","Ray Bradbury ['Science Fiction', 'Short Stories', 'Fiction', 'Classics', 'Fantasy', 'Horror', 'Science Fiction Fantasy']"
6312,"smaragdgrün (edelstein-trilogie, #3)",Kerstin Gier,"['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Fiction', 'Science Fiction']","92,977","Kerstin Gier ['Fantasy', 'Young Adult', 'Time Travel', 'Romance', 'Historical Fiction', 'Fiction', 'Science Fiction']"
3685,her fearful symmetry,Audrey Niffenegger,"['Fiction', 'Fantasy', 'Paranormal', 'Mystery', 'Contemporary', 'Ghosts', 'Magical Realism']","92,951","Audrey Niffenegger ['Fiction', 'Fantasy', 'Paranormal', 'Mystery', 'Contemporary', 'Ghosts', 'Magical Realism']"
2526,the letters of vincent van gogh,Vincent van Gogh,"['Art', 'Nonfiction', 'Biography', 'Classics', 'History', 'Memoir', 'Art History']","92,797","Vincent van Gogh ['Art', 'Nonfiction', 'Biography', 'Classics', 'History', 'Memoir', 'Art History']"
