,Book,Author,Genres,Num_Ratings,description
6636,"from the falls (the falls trilogy, #2)",Heather  Renee,"['Fantasy', 'Magic', 'Young Adult', 'Romance', 'Adventure']",99,"Heather  Renee ['Fantasy', 'Magic', 'Young Adult', 'Romance', 'Adventure']"
2114,"blackamoores: africans in tudor england, their presence, status and origins",Onyeka,"['History', 'Nonfiction', 'Race', 'Africa', 'Anti Racist', 'European History', 'World History']",99,"Onyeka ['History', 'Nonfiction', 'Race', 'Africa', 'Anti Racist', 'European History', 'World History']"
8805,"barbarians: how the baby boomers, immigration, and islam screwed my generation",Lauren Southern,"['Politics', 'Nonfiction', 'Cultural', 'History', 'Islam', 'Religion', 'Far Right']",986,"Lauren Southern ['Politics', 'Nonfiction', 'Cultural', 'History', 'Islam', 'Religion', 'Far Right']"
2279,glucose control eating: lose weight stay slimmer live healthier live longer,Rick Mystrom,"['Contemporary', 'Fiction', 'Epic']",984,"Rick Mystrom ['Contemporary', 'Fiction', 'Epic']"
8337,suicide casanova,Arthur Nersesian,"['Fiction', 'Erotica', 'Sexuality', 'Contemporary']",980,"Arthur Nersesian ['Fiction', 'Erotica', 'Sexuality', 'Contemporary']"
3233,mid ocean,T. Rafael Cimino,"['Fiction', 'Mystery Thriller']",980,"T. Rafael Cimino ['Fiction', 'Mystery Thriller']"
589,i capture the castle,Dodie Smith,"['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Coming Of Age', 'Historical']","98,881","Dodie Smith ['Classics', 'Fiction', 'Young Adult', 'Historical Fiction', 'Romance', 'Coming Of Age', 'Historical']"
1532,"on the banks of plum creek (little house, #4)",Laura Ingalls Wilder,"['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']","98,715","Laura Ingalls Wilder ['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade']"
2898,"the redbreast (harry hole, #3)",Jo Nesbø,"['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Scandinavian Literature', 'Detective']","98,670","Jo Nesbø ['Mystery', 'Crime', 'Fiction', 'Thriller', 'Mystery Thriller', 'Scandinavian Literature', 'Detective']"
4103,"ancillary justice (imperial radch, #1)",Ann Leckie,"['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Space', 'Fantasy', 'Adult']","98,603","Ann Leckie ['Science Fiction', 'Fiction', 'Space Opera', 'Science Fiction Fantasy', 'Space', 'Fantasy', 'Adult']"
1305,lucky,Alice Sebold,"['Nonfiction', 'Memoir', 'Biography', 'True Crime', 'Biography Memoir', 'Autobiography', 'Adult']","98,599","Alice Sebold ['Nonfiction', 'Memoir', 'Biography', 'True Crime', 'Biography Memoir', 'Autobiography', 'Adult']"
3426,by the river piedra i sat down and wept,Paulo Coelho,"['Fiction', 'Romance', 'Philosophy', 'Novels', 'Spirituality', 'Contemporary', 'Inspirational']","98,548","Paulo Coelho ['Fiction', 'Romance', 'Philosophy', 'Novels', 'Spirituality', 'Contemporary', 'Inspirational']"
2288,what the dog saw and other adventures,Malcolm Gladwell,"['Nonfiction', 'Psychology', 'Business', 'Essays', 'Sociology', 'Science', 'Audiobook']","98,511","Malcolm Gladwell ['Nonfiction', 'Psychology', 'Business', 'Essays', 'Sociology', 'Science', 'Audiobook']"
